circRNA,Alias
hsa_circRNA_082501,hsa_circ_0082501
hsa_circRNA_007418,hsa_circ_0007418
hsa_circRNA_061985,hsa_circ_0061985
hsa_circRNA_043081,hsa_circ_0043081
hsa_circRNA_100501,hsa_circ_0002413
hsa_circRNA_000654,hsa_circ_0000654
hsa_circRNA_104195,hsa_circ_0002198
hsa_circRNA_103950,hsa_circ_0001534
hsa_circRNA_007390,hsa_circ_0007390
hsa_circRNA_008846,hsa_circ_0008846
hsa_circRNA_000542,hsa_circ_0000542
hsa_circRNA_007645,hsa_circ_0007645
hsa_circRNA_102997,hsa_circ_0059490
hsa_circRNA_103917,hsa_circ_0073435
hsa_circRNA_102887,hsa_circ_0057691
hsa_circRNA_054947,hsa_circ_0054947
hsa_circRNA_031460,hsa_circ_0031460
hsa_circRNA_102776,hsa_circ_0055451
hsa_circRNA_100098,hsa_circ_0007822
hsa_circRNA_061825,hsa_circ_0061825
hsa_circRNA_104215,hsa_circ_0005753
hsa_circRNA_092547,hsa_circ_0001445
hsa_circRNA_101560,hsa_circ_0007527
hsa_circRNA_102799,hsa_circ_0002076
hsa_circRNA_004103,hsa_circ_0004103
hsa_circRNA_000566,hsa_circ_0000566
hsa_circRNA_006759,hsa_circ_0006759
hsa_circRNA_000052,hsa_circ_0000052
hsa_circRNA_004767,hsa_circ_0004767
hsa_circRNA_101633,hsa_circ_0036629
hsa_circRNA_101915,hsa_circ_0041050
hsa_circRNA_102445,hsa_circ_0004552
hsa_circRNA_102323,hsa_circ_0047145
hsa_circRNA_015839,hsa_circ_0015839
hsa_circRNA_068767,hsa_circ_0068767
hsa_circRNA_007263,hsa_circ_0007263
hsa_circRNA_102820,hsa_circ_0056439
hsa_circRNA_016363,hsa_circ_0016363
hsa_circRNA_092482,hsa_circ_0001036
hsa_circRNA_000572,hsa_circ_0000572
hsa_circRNA_087119,hsa_circ_0087119
hsa_circRNA_068784,hsa_circ_0068784
hsa_circRNA_088439,hsa_circ_0088439
hsa_circRNA_105045,hsa_circ_0092163
hsa_circRNA_060539,hsa_circ_0060539
hsa_circRNA_000829,hsa_circ_0000829
hsa_circRNA_068655,hsa_circ_0068655
hsa_circRNA_006131,hsa_circ_0006131
hsa_circRNA_006116,hsa_circ_0006116
hsa_circRNA_001520,hsa_circ_0001520
hsa_circRNA_103519,hsa_circ_0068075
hsa_circRNA_103384,hsa_circ_0065898
hsa_circRNA_102642,hsa_circ_0003828
hsa_circRNA_047834,hsa_circ_0047834
hsa_circRNA_031775,hsa_circ_0031775
hsa_circRNA_004520,hsa_circ_0004520
hsa_circRNA_003986,hsa_circ_0003986
hsa_circRNA_100137,hsa_circ_0011264
hsa_circRNA_101014,hsa_circ_0008932
hsa_circRNA_102356,hsa_circ_0047552
hsa_circRNA_011933,hsa_circ_0011933
hsa_circRNA_000546,hsa_circ_0000546
hsa_circRNA_047135,hsa_circ_0047135
hsa_circRNA_104979,hsa_circ_0007685
hsa_circRNA_006063,hsa_circ_0006063
hsa_circRNA_104496,hsa_circ_0082440
hsa_circRNA_101080,hsa_circ_0008085
hsa_circRNA_008091,hsa_circ_0008091
hsa_circRNA_026134,hsa_circ_0026134
hsa_circRNA_104750,hsa_circ_0008678
hsa_circRNA_102771,hsa_circ_0055377
hsa_circRNA_104082,hsa_circ_0075826
hsa_circRNA_004561,hsa_circ_0004561
hsa_circRNA_104876,hsa_circ_0088062
hsa_circRNA_103727,hsa_circ_0008144
hsa_circRNA_000980,hsa_circ_0000980
hsa_circRNA_102798,hsa_circ_0009020
hsa_circRNA_103352,hsa_circ_0001292
hsa_circRNA_091669,hsa_circ_0091669
hsa_circRNA_101466,hsa_circ_0005387
hsa_circRNA_104385,hsa_circ_0006365
hsa_circRNA_103433,hsa_circ_0005332
hsa_circRNA_007074,hsa_circ_0007074
hsa_circRNA_066869,hsa_circ_0066869
hsa_circRNA_101140,hsa_circ_0002628
hsa_circRNA_020169,hsa_circ_0020169
hsa_circRNA_101293,hsa_circ_0030764
hsa_circRNA_100555,hsa_circ_0017803
hsa_circRNA_062996,hsa_circ_0062996
hsa_circRNA_003063,hsa_circ_0003063
hsa_circRNA_075881,hsa_circ_0075881
hsa_circRNA_013959,hsa_circ_0013959
hsa_circRNA_026023,hsa_circ_0026023
hsa_circRNA_000078,hsa_circ_0000078
hsa_circRNA_000968,hsa_circ_0000968
hsa_circRNA_005287,hsa_circ_0005287
hsa_circRNA_018168,hsa_circ_0018168
hsa_circRNA_103167,hsa_circ_0008252
hsa_circRNA_104659,hsa_circ_0085045
